Opt. Const. of Cauchy vs. nm
nm	n	k
1555.963623	1.485515	0.006800	
1559.385010	1.485509	0.006798	
1562.807007	1.485502	0.006796	
1566.229980	1.485495	0.006795	
1569.653687	1.485489	0.006793	
1573.078369	1.485482	0.006791	
1576.503784	1.485475	0.006790	
1579.930176	1.485469	0.006788	
1583.357422	1.485462	0.006786	
1586.785645	1.485456	0.006785	
1590.214600	1.485450	0.006783	
1593.644775	1.485443	0.006781	
1597.075684	1.485437	0.006780	
1600.507568	1.485431	0.006778	
1603.940674	1.485425	0.006776	
1607.374512	1.485418	0.006775	
1610.809448	1.485412	0.006773	
1614.245361	1.485406	0.006771	
1617.682373	1.485400	0.006770	
1621.120483	1.485394	0.006768	
1624.559692	1.485388	0.006767	
1627.999756	1.485382	0.006765	
1631.441162	1.485376	0.006763	
1634.883545	1.485370	0.006762	
1638.327148	1.485364	0.006760	
1641.771851	1.485359	0.006759	
1645.217773	1.485353	0.006757	
1648.664795	1.485347	0.006756	
1652.113037	1.485341	0.006754	
1655.562500	1.485336	0.006753	
1659.013062	1.485330	0.006751	
1662.465088	1.485325	0.006749	
1665.918213	1.485319	0.006748	
1669.372437	1.485313	0.006746	
1672.828125	1.485308	0.006745	
1676.285156	1.485302	0.006743	
1679.743408	1.485297	0.006742	
1683.202881	1.485291	0.006740	
1686.663818	1.485286	0.006739	
