Opt. Const. of Quartz E vs. nm
nm	n	k
1119.475830	1.542089	0.000000	
1122.914429	1.542039	0.000000	
1126.352051	1.541990	0.000000	
1129.788452	1.541941	0.000000	
1133.223877	1.541892	0.000000	
1136.658447	1.541843	0.000000	
1140.091919	1.541793	0.000000	
1143.524292	1.541744	0.000000	
1146.955811	1.541695	0.000000	
1150.386230	1.541646	0.000000	
1153.815796	1.541597	0.000000	
1157.244385	1.541548	0.000000	
1160.672119	1.541500	0.000000	
1164.098999	1.541453	0.000000	
1167.524902	1.541407	0.000000	
1170.949951	1.541360	0.000000	
1174.374146	1.541314	0.000000	
1177.797485	1.541267	0.000000	
1181.219971	1.541221	0.000000	
1184.641724	1.541174	0.000000	
1188.062622	1.541128	0.000000	
1191.482666	1.541081	0.000000	
1194.902100	1.541035	0.000000	
1198.320557	1.540988	0.000000	
1201.738525	1.540942	0.000000	
1205.155518	1.540895	0.000000	
1208.572021	1.540849	0.000000	
1211.987671	1.540802	0.000000	
1215.402710	1.540756	0.000000	
1218.817139	1.540709	0.000000	
1222.230713	1.540663	0.000000	
1225.643799	1.540617	0.000000	
1229.056396	1.540570	0.000000	
1232.468140	1.540524	0.000000	
1235.879395	1.540478	0.000000	
1239.290039	1.540431	0.000000	
1242.700073	1.540385	0.000000	
1246.109619	1.540338	0.000000	
1249.518677	1.540292	0.000000	
1252.927002	1.540246	0.000000	
1256.335083	1.540199	0.000000	
1259.742432	1.540153	0.000000	
1263.149536	1.540107	0.000000	
1266.556030	1.540060	0.000000	
1269.962158	1.540014	0.000000	
1273.367798	1.539968	0.000000	
1276.772949	1.539921	0.000000	
1280.177856	1.539875	0.000000	
1283.582275	1.539829	0.000000	
1286.986206	1.539782	0.000000	
1290.389893	1.539736	0.000000	
1293.793213	1.539690	0.000000	
1297.196289	1.539643	0.000000	
1300.598999	1.539597	0.000000	
1304.001343	1.539551	0.000000	
1307.403564	1.539505	0.000000	
1310.805298	1.539458	0.000000	
1314.206787	1.539412	0.000000	
1317.608154	1.539365	0.000000	
1321.009277	1.539319	0.000000	
1324.410156	1.539273	0.000000	
1327.810791	1.539226	0.000000	
1331.211304	1.539180	0.000000	
1334.611572	1.539133	0.000000	
1338.011719	1.539087	0.000000	
1341.411865	1.539041	0.000000	
1344.811646	1.538994	0.000000	
1348.211426	1.538948	0.000000	
1351.611084	1.538902	0.000000	
1355.010742	1.538855	0.000000	
1358.410278	1.538809	0.000000	
1361.809692	1.538762	0.000000	
1365.209106	1.538716	0.000000	
1368.608521	1.538670	0.000000	
1372.007935	1.538623	0.000000	
1375.407349	1.538577	0.000000	
1378.806763	1.538530	0.000000	
1382.206177	1.538484	0.000000	
1385.605713	1.538438	0.000000	
1389.005127	1.538391	0.000000	
1392.404785	1.538345	0.000000	
1395.804443	1.538298	0.000000	
1399.204346	1.538252	0.000000	
1402.604248	1.538206	0.000000	
1406.004395	1.538159	0.000000	
1409.404541	1.538113	0.000000	
1412.804932	1.538067	0.000000	
1416.205566	1.538020	0.000000	
1419.606323	1.537974	0.000000	
1423.007324	1.537927	0.000000	
1426.408447	1.537881	0.000000	
1429.809937	1.537834	0.000000	
1433.211670	1.537788	0.000000	
1436.613525	1.537742	0.000000	
1440.015869	1.537695	0.000000	
1443.418335	1.537649	0.000000	
1446.821167	1.537602	0.000000	
1450.224365	1.537556	0.000000	
1453.627930	1.537509	0.000000	
1457.031738	1.537463	0.000000	
1460.436035	1.537416	0.000000	
1463.840576	1.537370	0.000000	
1467.245605	1.537323	0.000000	
1470.651123	1.537277	0.000000	
1474.056885	1.537230	0.000000	
1477.463135	1.537184	0.000000	
1480.869873	1.537137	0.000000	
1484.277100	1.537090	0.000000	
1487.684814	1.537043	0.000000	
1491.093018	1.536996	0.000000	
1494.501831	1.536948	0.000000	
1497.911133	1.536901	0.000000	
1501.320923	1.536854	0.000000	
1504.731201	1.536807	0.000000	
1508.142212	1.536760	0.000000	
1511.553711	1.536713	0.000000	
1514.965820	1.536666	0.000000	
1518.378662	1.536618	0.000000	
1521.791992	1.536571	0.000000	
1525.205933	1.536524	0.000000	
1528.620605	1.536477	0.000000	
1532.036011	1.536430	0.000000	
1535.452026	1.536382	0.000000	
1538.868896	1.536335	0.000000	
1542.286377	1.536287	0.000000	
1545.704468	1.536236	0.000000	
1549.123413	1.536185	0.000000	
1552.543213	1.536135	0.000000	
1555.963623	1.536084	0.000000	
1559.385010	1.536033	0.000000	
1562.807007	1.535982	0.000000	
1566.229980	1.535932	0.000000	
1569.653687	1.535881	0.000000	
1573.078369	1.535830	0.000000	
1576.503784	1.535779	0.000000	
1579.930176	1.535728	0.000000	
1583.357422	1.535677	0.000000	
1586.785645	1.535626	0.000000	
1590.214600	1.535576	0.000000	
1593.644775	1.535525	0.000000	
1597.075684	1.535474	0.000000	
1600.507568	1.535423	0.000000	
1603.940674	1.535372	0.000000	
1607.374512	1.535321	0.000000	
1610.809448	1.535270	0.000000	
1614.245361	1.535219	0.000000	
1617.682373	1.535168	0.000000	
1621.120483	1.535117	0.000000	
1624.559692	1.535066	0.000000	
1627.999756	1.535015	0.000000	
1631.441162	1.534963	0.000000	
1634.883545	1.534912	0.000000	
1638.327148	1.534861	0.000000	
1641.771851	1.534810	0.000000	
1645.217773	1.534759	0.000000	
